SystemsBiologyToIdentifyBiomar_DataDictionary_2022-05-26,,,,,,,,,,,,,,,,,
Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
q59_medication2,enrolment_visit_v1,,text,59. Medication 2,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q54_othermed_enrolv1] = '1',,,,,,
q60_startdateadm2,enrolment_visit_v1,,text,60. Start date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q59_medication2] > '',,,,,,
q61_specifymed2,enrolment_visit_v1,,radio,61. Specify if on-going with Medication 2 intake,"1, Yes | 0, No",,,,,,[q59_medication2] > '',,,,,,
q62_enddateadm2,enrolment_visit_v1,,text,62. End date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q61_specifymed2] = '0',,,,,,
q63_medication3,enrolment_visit_v1,,text,63. Medication 3,,,,,,,[q59_medication2] > '',,,,,,
q64_startdateadm3,enrolment_visit_v1,,text,64. Start date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q63_medication3] > '',,,,,,
q65_specifymed3,enrolment_visit_v1,,radio,65. Specify if on-going with Medication 3 intake,"1, Yes | 0, No",,,,,,[q63_medication3] > '',,,,,,
q66_enddateadm3,enrolment_visit_v1,,text,66. End date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q65_specifymed3] = '0',,,,,,
q67_medication4,enrolment_visit_v1,,text,67. Medication 4,,,,,,,[q63_medication3] > '',,,,,,
q68_startdateadm4,enrolment_visit_v1,,text,68. Start date of  Medication 4  administration,,Date (DD/MM/YYYY),date_dmy,,,,[q67_medication4] > '',,,,,,
q69_specifymed4,enrolment_visit_v1,,radio,69. Specify if on-going with Medication 4 intake,"1, Yes | 0, No",,,,,,[q67_medication4] > '',,,,,,
q70_enddateadm4,enrolment_visit_v1,,text,70. End date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q69_specifymed4] = '0',,,,,,
q71_hasbreastfeed_enrolv1,enrolment_visit_v1,,radio,71. Has breastfeeding been initiated,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q71_details_enrolv1,enrolment_visit_v1,,notes,72. Details,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q73_evi_enrolv1,enrolment_visit_v1,ELIGIBILITY CHECKLIST FOR INCLUSION CRITERIA,radio,73. Evidence of a personally signed and dated informed consent document (ICD) indicating that the subject's parent(s)/legal guardian(s) has been informed of all pertinent aspects of the study. If the subject's parent(s)/legal guardian(s) is/are illiterate they must thumbprint the ICD and it must be signed and dated by an impartial witness who was present throughout the entire informed consent process.,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,eligibility_checklist_enrolv1,,
q74_age0_24hr_enrolv1,enrolment_visit_v1,,radio,74. Age 0 to 24 hours at time of enrolment,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,eligibility_checklist_enrolv1,,
q75_availability_enrolv1,enrolment_visit_v1,,radio,75. Available for entire study period,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,eligibility_checklist_enrolv1,,
q76_healthyinfa_enrolv1,enrolment_visit_v1,,radio,"76. Healthy infant as determined by medical history, physical examination, and judgement of the investigator","1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,eligibility_checklist_enrolv1,,
q77_parentswilling_enrolv1,enrolment_visit_v1,,radio,77. Parent(s)/legal guardian(s) is/are willing and able to comply with scheduled visits and other study procedures,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,eligibility_checklist_enrolv1,,
q78_weight25_enrolv1,enrolment_visit_v1,,radio,78. Weight of 2.5 kg or greater at the time of enrolment,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,eligibility_checklist_enrolv1,,
q79_gestationalage_enrolv1,enrolment_visit_v1,,radio,79. Gestational Age >37 weeks,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,eligibility_checklist_enrolv1,,
q80_inccriteriamet_enrolv1,enrolment_visit_v1,,radio,80. Inclusion criteria met,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q81_numcrinotmet_enrolv1,enrolment_visit_v1,,text,81. Number of inclusion criterion not met,,"If multiple criteria not met, enter all numbers and separate with comma(s)",,,,,[q80_inccriteriamet_enrolv1] = '0',,,,,,
q82_detailinccrit_enrolv1,enrolment_visit_v1,,notes,82. Details for inclusion criterion (criteria) not met,,,,,,,[q80_inccriteriamet_enrolv1] = '0',,,,,,
q83_prevepivac_enrolv1,enrolment_visit_v1,EXCLUSION CRITERIA,radio,83. Previous vaccination with any EPI vaccine,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,exclusion_enrolvi,,
q84_hivorhepb_enrolv1,enrolment_visit_v1,,radio,84. HIV or HepB positivity in the mother,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,exclusion_enrolvi,,
q85_majormalf_enrolv1,enrolment_visit_v1,,radio,85. Major known congenital malformation,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,exclusion_enrolvi,,
q86_apgarscore_less_than_8,enrolment_visit_v1,,radio,86. APGAR score less than 8,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,exclusion_enrolvi,,
q87_antibiotic_mother,enrolment_visit_v1,,radio,87. Antibiotic use by mother in the week prior to delivery,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,exclusion_enrolvi,,
pngexc_csec,enrolment_visit_v1,,radio,Cesarean Section,"1, Yes | 0, No",,,,,,,,,,exclusion_enrolvi,,
q88_otherexclusion,enrolment_visit_v1,,radio,88. Other,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,exclusion_enrolvi,,
q89_specifyother,enrolment_visit_v1,,notes,"89. Other, specify",,,,,,,[q88_otherexclusion] = '1',,,,,,
q90_exclusionmet,enrolment_visit_v1,,radio,90. Were any exclusion criteria met?,"1, Yes | 0, No","If exclusion criterion met, subject is not eligible for the study",,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q91_exclusionmet,enrolment_visit_v1,,text,91. Number of exclusion criterion met,,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,[q90_exclusionmet] = '1',,,,,,
q92_exclusiondetails,enrolment_visit_v1,,notes,92. Details of exclusion criterion/criteria met,,,,,,,[q90_exclusionmet] = '1',,,,,,
q93_subjectid,enrolment_visit_v1,RANDOMIZATION,text,93. Participant Number (Subject ID),,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q94_randomdate,enrolment_visit_v1,,text,94. Randomization Date,,Date (DD/MM/YYYY),date_dmy,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q95_treatmentsched_enrolv1,enrolment_visit_v1,,radio,95. Ontogeny Treatment Schedule,"1, G10 (Day 1 Follow-up) | 2, G11 (Day 3 Follow-up) | 3, G12 (Day 7 Follow-up)",Follow-up day of Visit 2,,,,,[cohort_define_v1] = '1',,,,,,
q95_val_treatmentsched,enrolment_visit_v1,,radio,95. Validation Treatment Schedule,"RG1, None | RG2, HBV only | RG3, BCG only | RG4, Both (HBV + BCG)",Baseline vaccine administered,,,,,[cohort_define_v1] = '2',,,,,,
q96_physicianname_enrolv1,enrolment_visit_v1,,text,96. Physician's name,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q97_physiciansign_enrolv1,enrolment_visit_v1,,file,97. Physician's signature,,,signature,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q98_dateformcompleted,enrolment_visit_v1,,text,98. Date form completed,,Date (DD/MM/YYYY),date_dmy,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q99_day0bloodcoll_enrolv1,enrolment_visit_v1,SAMPLE COLLECTION,radio,99. Day 0 blood sample collected,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q100_day0volume_enrolv1,enrolment_visit_v1,,text,100.  Volume of blood draw (ml),,Please enter volume to one decimal place (e.g. 00.0),number_1dp,,,,[q99_day0bloodcoll_enrolv1] = '1',,,,,,
q101_day0timecol_enrolv1,enrolment_visit_v1,,text,101. Time of blood collection (hr),,,time,,,,[q99_day0bloodcoll_enrolv1] = '1',,,,,,
q102_visit_id,enrolment_visit_v1,,text,102. Visit ID,,,,,,,,y,,,,,
q103_pipettingrna,enrolment_visit_v1,,text,103. Time of pipetting RNA sample,,,time,,,,,,,,,,
q104_day0notes_enrolv1,enrolment_visit_v1,,notes,104. Day 0 blood draw notes,,,,,,,,,,,,,
q105_haschildmecon_enrolv1,enrolment_visit_v1,,radio,105. Has child passed meconium (ask and look),"1, Yes | 0, No",,,,,,,,,,,,
q106_physiciannursename,enrolment_visit_v1,,text,106. Physician/Nurse's name,,,,,,,,,,,,,
q107_signature,enrolment_visit_v1,,text,107. Signature,,,,,,,,,,,,,
q108_v1complete_enrolv1,enrolment_visit_v1,VERIFICATION OF VISIT DETAILS,radio,108. Have all Visit 1 activities been completed,"1, Yes | 0, No",,,,,,,,,,,,
q109_v1activities_visit1,enrolment_visit_v1,,notes,"109. If not all activities have been completed, please specify",,,,,,,,,,,,,
q110_v2date,enrolment_visit_v1,,text,110. Date/Time of Visit 2,,Date (DD/MM/YYYY) Time (hr:min),datetime_dmy,,,,,,,,,,
q111_physiciannursename,enrolment_visit_v1,,text,111. Physician/Nurse's name,,,,,,,,,,,,,
q112_signature,enrolment_visit_v1,,text,112. Signature,,,,,,,,,,,,,
q113_completedate_enrolv1,enrolment_visit_v1,,text,113. Date form completed,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
ancnum_v2,visit_2_v2,,text,ANC Number,,,,,,,,,,,,,
cohort_define_v2,visit_2_v2,,radio,Cohort Assignment,"1, Ontogeny | 2, Validation",,,,,,,,,,,,
ont_group_v2,visit_2_v2,,radio,Ontogeny Group Assignment,"1, G10 (Day 1 Follow-up) | 2, G11 (Day 3 Follow-up) | 3, G12 (Day 7 Follow-up)",Visit 2 follow-up day,,,,,[cohort_define_v2] = '1',,,,,,
val_group_v2,visit_2_v2,,radio,Validation Group Assignment,"RG1, None | RG2, HBV only | RG3, BCG only | RG4, Both (HBV + BCG)",Vaccination(s) given at birth,,,,,[cohort_define_v2] = '2',,,,,,
q1_studyid_v2,visit_2_v2,,text,1. Participant Number (Subject ID),,,,,,,,y,,,,,
q2_dov_v2,visit_2_v2,,text,2. Date of visit,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
q3_weight_v2,visit_2_v2,VITAL SIGNS,text,3. Weight (g),,,integer,2500,9000,,,,,,,,
q4_temp_v2,visit_2_v2,,text,4. Temperature (Celsius),,Please enter value to one decimal place (e.g. 00.0),number_1dp,,,,,,,,,,
q5_resprate_v2,visit_2_v2,,text,5. Respiratory rate (cycles/min),,,integer,30,55,,,,,,,,
q6_heartrate_v2,visit_2_v2,,text,6. Heart rate (beats/minute),,,number,90,150,,,,,,,,
q7_notes_v2,visit_2_v2,,notes,7. Comments,,,,,,,,,,,,,
q8_nursename_v2,visit_2_v2,,text,8. Nurse or physician's name,,,,,,,,,,,,,
q9_signature_v2,visit_2_v2,,text,9. Signautre,,,,,,,,,,,,,
q10_date1_v2,visit_2_v2,,text,10. Date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
q11_hadae_v2,visit_2_v2,ADVERSE EVENTS,radio,11. Have there been any adverse events since last visit?,"1, Yes | 0, No",,,,,,,,,,,,
q12_ae1_v2,visit_2_v2,,text,12. Event 1 description,,,,,,,[q11_hadae_v2] = '1',y,,,,,
q13_ae1severity_v2,visit_2_v2,,radio,13. Event 1 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,[q11_hadae_v2] = '1',,,,,,
q14_ae1startdate_v2,visit_2_v2,,text,14. Event 1 start date,,Date (DD/MM/YYYY),date_dmy,,,,[q11_hadae_v2] = '1',,,,,,
q15_ae1enddate_v2,visit_2_v2,,text,15. Event 1 end date,,Date (DD/MM/YYYY),date_dmy,,,,[q11_hadae_v2] = '1',,,,,,
q16_ae2_v2,visit_2_v2,,text,16. Event 2 description,,,,,,,[q11_hadae_v2] = '1',,,,,,
q17_ae2severity_v2,visit_2_v2,,radio,17. Event 2 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,[q16_ae2_v2] > '',,,,,,
q18_ae2startdate_v2,visit_2_v2,,text,18. Event 2 start date,,Date (DD/MM/YYYY),date_dmy,,,,[q16_ae2_v2] > '',,,,,,
q19_ae2enddate_v2,visit_2_v2,,text,19. Event 2 end date,,Date (DD/MM/YYYY),date_dmy,,,,[q16_ae2_v2] > '',,,,,,
q20_ae3_v2,visit_2_v2,,text,20. Event 3 description,,,,,,,[q16_ae2_v2] > '',,,,,,
q21_ae3severity_v2,visit_2_v2,,radio,21. Event 3 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,[q20_ae3_v2] > '',,,,,,
q22_ae3startdate_v2,visit_2_v2,,text,22. Event 3 start date,,Date (DD/MM/YYYY),date_dmy,,,,[q20_ae3_v2] > '',,,,,,
q23_ae3enddate_v2,visit_2_v2,,text,23. Event 3 end date,,Date (DD/MM/YYYY),date_dmy,,,,[q20_ae3_v2] > '',,,,,,
q24_ae4_v2,visit_2_v2,,text,24. Event 4 description,,,,,,,[q20_ae3_v2] > '',,,,,,
q25_ae4severity_v2,visit_2_v2,,radio,25. Event 4 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,[q24_ae4_v2] > '',,,,,,
q26_ae4startdate_v2,visit_2_v2,,text,26. Event 4 start date,,Date (DD/MM/YYYY),date_dmy,,,,[q24_ae4_v2] > '',,,,,,
q27_ae4enddate_v2,visit_2_v2,,text,27. Event 4 end date,,Date (DD/MM/YYYY),date_dmy,,,,[q24_ae4_v2] > '',,,,,,
q28_prevmeds_v2,visit_2_v2,MEDICATIONS,radio,28. Has subject been given any medications,"1, Yes | 0, No",,,,,,,,,,,,
q29_prevmed1_v2,visit_2_v2,,text,29. Medication 1,,,,,,,[q28_prevmeds_v2] = '1',,,,,,
q30_med1startdate_v2,visit_2_v2,,text,30. Start date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q28_prevmeds_v2] = '1',,,,,,
q31_ongoingmed1_v2,visit_2_v2,,radio,31. Specify if ongoing with Medication 1 intake,"1, Yes | 0, No",,,,,,[q28_prevmeds_v2] = '1',,,,,,
q32_med1enddate_v2,visit_2_v2,,text,32. End date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q31_ongoingmed1_v2] = '0',,,,,,
q33_prevmed2_v2,visit_2_v2,,text,33. Medication 2,,,,,,,[q29_prevmed1_v2] > '',,,,,,
q34_med2startdate_v2,visit_2_v2,,text,34. Start date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q33_prevmed2_v2] > '',,,,,,
q35_ongoingmed2_v2,visit_2_v2,,radio,35. Specify if ongoing with Medication 2 intake,"1, Yes | 0, No",,,,,,[q33_prevmed2_v2] > '',,,,,,
q36_med2enddate_v2,visit_2_v2,,text,36. End date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q35_ongoingmed2_v2] = '0',,,,,,
q37_prevmed3_v2,visit_2_v2,,text,37. Medication 3,,,,,,,[q33_prevmed2_v2] > '',,,,,,
q38_med3startdate_v2,visit_2_v2,,text,38. Start date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q37_prevmed3_v2] > '',,,,,,
q39_ongoingmed3_v2,visit_2_v2,,radio,39. Specify if ongoing with Medication 3 intake,"1, Yes | 0, No",,,,,,[q37_prevmed3_v2] > '',,,,,,
q40_med3enddate_v2,visit_2_v2,,text,40. End date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q39_ongoingmed3_v2] = '0',,,,,,
q41_prevmed4_v2,visit_2_v2,,text,41. Medication 4,,,,,,,[q37_prevmed3_v2] > '',,,,,,
q42_med4startdate_v2,visit_2_v2,,text,42. Start date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q41_prevmed4_v2] > '',,,,,,
q43_ongoingmed4_v2,visit_2_v2,,radio,43. Specify if ongoing with Medication 4 intake,"1, Yes | 0, No",,,,,,[q41_prevmed4_v2] > '',,,,,,
q44_med4enddate_v2,visit_2_v2,,text,44. End date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q43_ongoingmed4_v2] = '0',,,,,,
q45_breastfed_v2,visit_2_v2,,radio,45. Is the infant breast feeding,"1, Yes | 0, No",,,,,,,,,,,,
q46_feedingdetails_v2,visit_2_v2,,notes,46. Please provide details,,,,,,,,,,,,,
q47_21to26hrs_visit2,visit_2_v2,INCLUSION CRITERIA,radio,47. Is ontogeny patient aged between 21 and 26 hours since enrolment (Group 10)?,"1, Yes | 0, No",,,,,,[cohort_define_v2] = '1' and [ont_group_v2] = '1',,,,,,
q48_65to79_visit2,visit_2_v2,,radio,48. Is ontogeny patient aged between 65 and 79 hours since enrolment (Group 11)?,"1, Yes | 0, No",,,,,,[cohort_define_v2] = '1' and [ont_group_v2] = '2',,,,,,
q49_7dayvisitage_v2,visit_2_v2,,radio,49. Is ontogeny patient aged between 6 and 8 days since enrolment (Group 12)?,"1, Yes | 0, No",,,,,,[cohort_define_v2] = '1' and [ont_group_v2] = '3',,,,,,
q50_inclusionmet_v2,visit_2_v2,,radio,50. Does subject meet inclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
q51_inclusionnotmet_v2,visit_2_v2,,text,51.Number of inclusion criterion (criteria) not met,,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,,,,,,,
q52_inclusiondetails_v2,visit_2_v2,,notes,52. Details for inclusion criterion (criteria) not met,,,,,,,,,,,,,
q53_exclusionprevvac_v2,visit_2_v2,EXCLUSION CRITERIA,radio,53. Previous vaccination with any EPI vaccine other than those administered by the study team,"1, Yes | 0, No",,,,,,,,,,,,
q54_excrimet_visit2,visit_2_v2,,radio,54. Does subject meet the exclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
q55_excrinum_v2,visit_2_v2,,text,55. Number of exclusion criterion (criteria) met,,"(If multiple criteria met, enter all number and separate with a comma(s))",number,,,,[q54_excrimet_visit2] = '1',,,,,,
q56_detailsrexcri_visit2,visit_2_v2,,notes,56. Details of exclusion criterion/criteria met,,,,,,,[q54_excrimet_visit2] = '1',,,,,,
q57_nursename2_visit2,visit_2_v2,,text,57. Nurse or physician name,,,,,,,,,,,,,
q58_sign2_visit2,visit_2_v2,,text,58. Signature,,,,,,,,,,,,,
q59_date2_visit2,visit_2_v2,,text,59. Date,,,date_dmy,,,,,,,,,,
q60_bloodsam_visit2,visit_2_v2,BLOOD SAMPLE COLLECTION,radio,60. Blood Sample Collected?,"1, Yes | 0, No",,,,,,,y,,,,,
q61_volsample_visit2,visit_2_v2,,text,61. Volume of sample,,enter value to one decimal place. e.g. 00.0,number_1dp,,,,,,,,,,
q62_timecol_visit2,visit_2_v2,,text,62. Time of collection,,,time,,,,,,,,,,
q63_visit_id_visit2,visit_2_v2,,text,63. Visit ID,,please confirm Visit ID is accurate,,,,,,y,,,,,
q64_timeofpipetti,visit_2_v2,,text,64. Time of pipetting RNA sample,,,time,,,,,,,,,,
q65_bcg_visit2,visit_2_v2,VACCINATIONS,radio,65. Has BCG been given in L arm?,"1, Yes | 0, No",,,,,,,,,,,,
q66_timeofbcg_visit2,visit_2_v2,,text,66. Date /Time BCG vaccination given,,,datetime_dmy,,,,[q65_bcg_visit2] = '1',,,,,,
q67_opv_visit2,visit_2_v2,,radio,67. Has OPV been given orally?,"1, Yes | 0, No",,,,,,,,,,,,
q68_timeopv_visit2,visit_2_v2,,text,68. Date/Time of OPV vaccination,,,datetime_dmy,,,,[q67_opv_visit2] = '1',,,,,,
q69_hbvgiven_visit2,visit_2_v2,,radio,69. Has HBV been given in R arm?,"1, Yes | 0, No",,,,,,,,,,,,
q70_hbv_visit2,visit_2_v2,,text,70. Date/Time HBV given,,,datetime_dmy,,,,[q69_hbvgiven_visit2] = '1',,,,,,
q71_notes1_visit2,visit_2_v2,,notes,71. Notes,,,,,,,,,,,,,
q72_rectalswabtaken_visit2,visit_2_v2,,radio,72. Rectal Swab taken,"1, Yes | 0, No",,,,,,,,,,,,
q73swabtime_visit2,visit_2_v2,,text,73. Time swab taken,,,datetime_dmy,,,,[q72_rectalswabtaken_visit2] = '1',,,,,,
q74_notes2_visit2,visit_2_v2,,notes,74. Notes,,,,,,,,,,,,,
q75_nursename_visit2,visit_2_v2,,text,75. Nurse of physician's name,,,,,,,,,,,,,
q76_sign3_visit2,visit_2_v2,,text,76. Signature,,,,,,,,,,,,,
q77_date3_visit2,visit_2_v2,,text,77. Date,,,date_dmy,,,,,,,,,,
q78_allv2activities_visit2,visit_2_v2,,radio,78. Have all Visit 2 activities been completed,"1, Yes | 0, No",,,,,,,,,,,,
q79_nospecify_visit2,visit_2_v2,,notes,"79. If not all activities have been completed, please specify",,,,,,,[q78_allv2activities_visit2] = '0',,,,,,
q80_nursename4_visit2,visit_2_v2,,notes,80. Nurse or physician's name,,,,,,,,,,,,,
q81_sign4_visit2,visit_2_v2,,notes,81. Signature,,,,,,,,,,,,,
q82_date4_visit2,visit_2_v2,,text,82. Date,,,date_dmy,,,,,,,,,,
q83_notes3_visit2,visit_2_v2,,notes,83. Notes,,,,,,,,,,,,,
v3_dov,visit_3,,text,1. Date of visit,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_weight,visit_3,VITAL SIGNS,text,2. Weight (g),,,integer,2500,9000,,,,,,,,
v3_length,visit_3,,text,3. Length (cm),,,,,,,,,,,,,
v3_temp,visit_3,,text,4. Temperature (Celsius),,Please enter value to one decimal place (e.g. 00.0),number_1dp,,,,,,,,,,
v3_resprate,visit_3,,text,5. Respiratory rate (cycles/min),,,integer,30,55,,,,,,,,
v3_heartrate,visit_3,,text,6. Heart rate (beats/minute),,,number,90,150,,,,,,,,
v3_headcirc,visit_3,,text,7. Head circumference (cm),,,,,,,,,,,,,
v3_comments,visit_3,,notes,8. Comments,,,,,,,,,,,,,
v3_nursename,visit_3,,text,9. Name of physician or nurse,,,,,,,,,,,,,
v3_sign,visit_3,,text,10. Signature,,,,,,,,,,,,,
v3_date,visit_3,,text,11. Date,,,date_dmy,,,,,,,,,,
v3_hadae,visit_3,ADVERSE EVENTS,radio,12. Have there been any adverse events since last visit?,"1, Yes | 0, No",,,,,,,,,,,,
v3_ae1,visit_3,,text,13. Event 1 description,,,,,,,,y,,,,,
v3_ae1severity,visit_3,,radio,14. Event 1 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v3_ae1startdate,visit_3,,text,15. Event 1 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ae1enddate,visit_3,,text,16. Event 1 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ae2,visit_3,,text,17. Event 2 description,,,,,,,,,,,,,
v3_ae2severity,visit_3,,radio,18. Event 2 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v3_ae2startdate,visit_3,,text,19. Event 2 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ae2enddate,visit_3,,text,20. Event 2 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ae3,visit_3,,text,21. Event 3 description,,,,,,,,,,,,,
v3_ae3severity,visit_3,,radio,22. Event 3 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v3_ae3startdate,visit_3,,text,23. Event 3 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ae3enddate,visit_3,,text,24. Event 3 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ae4,visit_3,,text,25. Event 4 description,,,,,,,,,,,,,
v3_ae4severity,visit_3,,radio,26. Event 4 severity,"1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
v3_ae4startdate,visit_3,,text,27. Event 4 start date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ae4enddate,visit_3,,text,28. Event 4 end date,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_prevmeds,visit_3,MEDICATIONS,radio,29. Has subject been given any medications,"1, Yes | 0, No",,,,,,,,,,,,
v3_prevmed1,visit_3,,text,30. Medication 1,,,,,,,,,,,,,
v3_med1startdate,visit_3,,text,31. Start date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ongoingmed1,visit_3,,radio,32. Specify if ongoing with Medication 1 intake,"1, Yes | 0, No",,,,,,,,,,,,
v3_med1enddate,visit_3,,text,33. End date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_prevmed2,visit_3,,text,34. Medication 2,,,,,,,,,,,,,
v3_med2startdate,visit_3,,text,35. Start date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ongoingmed2,visit_3,,radio,36. Specify if ongoing with Medication 2 intake,"1, Yes | 0, No",,,,,,,,,,,,
v3_med2enddate,visit_3,,text,37. End date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_prevmed3,visit_3,,text,38. Medication 3,,,,,,,,,,,,,
v3_med3startdate,visit_3,,text,39. Start date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ongoingmed3,visit_3,,radio,40. Specify if ongoing with Medication 3 intake,"1, Yes | 0, No",,,,,,,,,,,,
v3_med3enddate,visit_3,,text,41. End date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_prevmed4,visit_3,,text,42. Medication 4,,,,,,,,,,,,,
v3_med4startdate,visit_3,,text,43. Start date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_ongoingmed4,visit_3,,radio,44. Specify if ongoing with Medication 4 intake,"1, Yes | 0, No",,,,,,,,,,,,
v3_med4enddate,visit_3,,text,45. End date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v3_breastfed,visit_3,,radio,46. Is the infant breast feeding,"1, Yes | 0, No",,,,,,,,,,,,
v3_feedingdetails,visit_3,,notes,47. Please provide details,,,,,,,,,,,,,
v3_inclusionmet,visit_3,INCLUSION CRITERIA,radio,48. Does subject meet inclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
v3_inclusionnotmet,visit_3,,text,49.Number of inclusion criterion (criteria) not met,,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,,,,,,,
v3_inclusiondetails,visit_3,,notes,50. Details for inclusion criterion (criteria) not met,,,,,,,,,,,,,
v3_exclusionprevvac,visit_3,EXCLUSION CRITERIA,radio,51. Previous vaccination with any EPI vaccine other than those administered by the study team,"1, Yes | 0, No",,,,,,,,,,,,
v3_excrimet,visit_3,,radio,52. Does subject meet the exclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
v3_excrinum,visit_3,,text,53. Number of exclusion criterion (criteria) met,,"(If multiple criteria met, enter all number and separate with a comma(s))",number,,,,,,,,,,
v3_detailsrexcri,visit_3,,notes,54. Details of exclusion criterion/criteria met,,,,,,,,,,,,,
v3_nursename2,visit_3,,text,55. Name of physician or nurse,,,,,,,,,,,,,
